agent,ici_class,phenotype_family,openfda_total_agent_reports,agent_family_reports,all_database_family_reports,all_database_reports,reporting_odds_ratio,ror_ci_low,ror_ci_high,drug_query,reaction_query,interpretation_role,claim_boundary
durvalumab,PD-L1,neuromuscular,17032,178,20425,20328575,10.61,9.152,12.31,"(patient.drug.medicinalproduct.exact:""DURVALUMAB"" OR patient.drug.medicinalproduct.exact:""IMFINZI"")","(patient.reaction.reactionmeddrapt.exact:""GUILLAIN-BARRE SYNDROME"" OR patient.reaction.reactionmeddrapt.exact:""MYASTHENIA GRAVIS"" OR patient.reaction.reactionmeddrapt.exact:""MYOSITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
ipilimumab,CTLA-4,pneumonitis,42014,1448,72123,20328575,10.21,9.687,10.77,"(patient.drug.medicinalproduct.exact:""IPILIMUMAB"" OR patient.drug.medicinalproduct.exact:""YERVOY"")","(patient.reaction.reactionmeddrapt.exact:""INTERSTITIAL LUNG DISEASE"" OR patient.reaction.reactionmeddrapt.exact:""PNEUMONITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
ipilimumab,CTLA-4,colitis,42014,5330,655379,20328575,4.389,4.265,4.518,"(patient.drug.medicinalproduct.exact:""IPILIMUMAB"" OR patient.drug.medicinalproduct.exact:""YERVOY"")","(patient.reaction.reactionmeddrapt.exact:""COLITIS"" OR patient.reaction.reactionmeddrapt.exact:""DIARRHOEA"" OR patient.reaction.reactionmeddrapt.exact:""ENTEROCOLITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
ipilimumab,CTLA-4,hepatitis,42014,1289,112185,20328575,5.761,5.448,6.091,"(patient.drug.medicinalproduct.exact:""IPILIMUMAB"" OR patient.drug.medicinalproduct.exact:""YERVOY"")","(patient.reaction.reactionmeddrapt.exact:""ALANINE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""ASPARTATE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""HEPATITIS"" OR patient.reaction.reactionmeddrapt.exact:""TRANSAMINASES INCREASED"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
ipilimumab,CTLA-4,endocrine,42014,3086,57293,20328575,29.59,28.5,30.73,"(patient.drug.medicinalproduct.exact:""IPILIMUMAB"" OR patient.drug.medicinalproduct.exact:""YERVOY"")","(patient.reaction.reactionmeddrapt.exact:""ADRENAL INSUFFICIENCY"" OR patient.reaction.reactionmeddrapt.exact:""HYPERTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""HYPOPHYSITIS"" OR patient.reaction.reactionmeddrapt.exact:""HYPOTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""THYROIDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
ipilimumab,CTLA-4,nephritis,42014,460,133893,20328575,1.674,1.527,1.835,"(patient.drug.medicinalproduct.exact:""IPILIMUMAB"" OR patient.drug.medicinalproduct.exact:""YERVOY"")","(patient.reaction.reactionmeddrapt.exact:""NEPHRITIS"" OR patient.reaction.reactionmeddrapt.exact:""RENAL FAILURE"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
ipilimumab,CTLA-4,cardiac,42014,551,26440,20328575,10.41,9.562,11.33,"(patient.drug.medicinalproduct.exact:""IPILIMUMAB"" OR patient.drug.medicinalproduct.exact:""YERVOY"")","(patient.reaction.reactionmeddrapt.exact:""MYOCARDITIS"" OR patient.reaction.reactionmeddrapt.exact:""PERICARDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
ipilimumab,CTLA-4,skin,42014,2585,725597,20328575,1.774,1.705,1.846,"(patient.drug.medicinalproduct.exact:""IPILIMUMAB"" OR patient.drug.medicinalproduct.exact:""YERVOY"")","(patient.reaction.reactionmeddrapt.exact:""DERMATITIS"" OR patient.reaction.reactionmeddrapt.exact:""PRURITUS"" OR patient.reaction.reactionmeddrapt.exact:""RASH"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
ipilimumab,CTLA-4,neuromuscular,42014,587,20425,20328575,14.49,13.34,15.74,"(patient.drug.medicinalproduct.exact:""IPILIMUMAB"" OR patient.drug.medicinalproduct.exact:""YERVOY"")","(patient.reaction.reactionmeddrapt.exact:""GUILLAIN-BARRE SYNDROME"" OR patient.reaction.reactionmeddrapt.exact:""MYASTHENIA GRAVIS"" OR patient.reaction.reactionmeddrapt.exact:""MYOSITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
nivolumab,PD-1,pneumonitis,94347,3736,72123,20328575,12.16,11.76,12.57,"(patient.drug.medicinalproduct.exact:""NIVOLUMAB"" OR patient.drug.medicinalproduct.exact:""OPDIVO"")","(patient.reaction.reactionmeddrapt.exact:""INTERSTITIAL LUNG DISEASE"" OR patient.reaction.reactionmeddrapt.exact:""PNEUMONITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
nivolumab,PD-1,colitis,94347,7392,655379,20328575,2.57,2.509,2.632,"(patient.drug.medicinalproduct.exact:""NIVOLUMAB"" OR patient.drug.medicinalproduct.exact:""OPDIVO"")","(patient.reaction.reactionmeddrapt.exact:""COLITIS"" OR patient.reaction.reactionmeddrapt.exact:""DIARRHOEA"" OR patient.reaction.reactionmeddrapt.exact:""ENTEROCOLITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
nivolumab,PD-1,hepatitis,94347,2206,112185,20328575,4.382,4.199,4.573,"(patient.drug.medicinalproduct.exact:""NIVOLUMAB"" OR patient.drug.medicinalproduct.exact:""OPDIVO"")","(patient.reaction.reactionmeddrapt.exact:""ALANINE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""ASPARTATE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""HEPATITIS"" OR patient.reaction.reactionmeddrapt.exact:""TRANSAMINASES INCREASED"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
nivolumab,PD-1,endocrine,94347,4825,57293,20328575,20.73,20.12,21.37,"(patient.drug.medicinalproduct.exact:""NIVOLUMAB"" OR patient.drug.medicinalproduct.exact:""OPDIVO"")","(patient.reaction.reactionmeddrapt.exact:""ADRENAL INSUFFICIENCY"" OR patient.reaction.reactionmeddrapt.exact:""HYPERTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""HYPOPHYSITIS"" OR patient.reaction.reactionmeddrapt.exact:""HYPOTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""THYROIDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
nivolumab,PD-1,nephritis,94347,990,133893,20328575,1.605,1.507,1.709,"(patient.drug.medicinalproduct.exact:""NIVOLUMAB"" OR patient.drug.medicinalproduct.exact:""OPDIVO"")","(patient.reaction.reactionmeddrapt.exact:""NEPHRITIS"" OR patient.reaction.reactionmeddrapt.exact:""RENAL FAILURE"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
nivolumab,PD-1,cardiac,94347,1146,26440,20328575,9.828,9.26,10.43,"(patient.drug.medicinalproduct.exact:""NIVOLUMAB"" OR patient.drug.medicinalproduct.exact:""OPDIVO"")","(patient.reaction.reactionmeddrapt.exact:""MYOCARDITIS"" OR patient.reaction.reactionmeddrapt.exact:""PERICARDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
nivolumab,PD-1,skin,94347,4569,725597,20328575,1.377,1.337,1.419,"(patient.drug.medicinalproduct.exact:""NIVOLUMAB"" OR patient.drug.medicinalproduct.exact:""OPDIVO"")","(patient.reaction.reactionmeddrapt.exact:""DERMATITIS"" OR patient.reaction.reactionmeddrapt.exact:""PRURITUS"" OR patient.reaction.reactionmeddrapt.exact:""RASH"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
nivolumab,PD-1,neuromuscular,94347,1176,20425,20328575,13.26,12.5,14.07,"(patient.drug.medicinalproduct.exact:""NIVOLUMAB"" OR patient.drug.medicinalproduct.exact:""OPDIVO"")","(patient.reaction.reactionmeddrapt.exact:""GUILLAIN-BARRE SYNDROME"" OR patient.reaction.reactionmeddrapt.exact:""MYASTHENIA GRAVIS"" OR patient.reaction.reactionmeddrapt.exact:""MYOSITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
pembrolizumab,PD-1,pneumonitis,91643,4097,72123,20328575,13.88,13.44,14.33,"(patient.drug.medicinalproduct.exact:""KEYTRUDA"" OR patient.drug.medicinalproduct.exact:""PEMBROLIZUMAB"")","(patient.reaction.reactionmeddrapt.exact:""INTERSTITIAL LUNG DISEASE"" OR patient.reaction.reactionmeddrapt.exact:""PNEUMONITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
pembrolizumab,PD-1,colitis,91643,6502,655379,20328575,2.306,2.248,2.365,"(patient.drug.medicinalproduct.exact:""KEYTRUDA"" OR patient.drug.medicinalproduct.exact:""PEMBROLIZUMAB"")","(patient.reaction.reactionmeddrapt.exact:""COLITIS"" OR patient.reaction.reactionmeddrapt.exact:""DIARRHOEA"" OR patient.reaction.reactionmeddrapt.exact:""ENTEROCOLITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
pembrolizumab,PD-1,hepatitis,91643,1837,112185,20328575,3.732,3.562,3.91,"(patient.drug.medicinalproduct.exact:""KEYTRUDA"" OR patient.drug.medicinalproduct.exact:""PEMBROLIZUMAB"")","(patient.reaction.reactionmeddrapt.exact:""ALANINE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""ASPARTATE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""HEPATITIS"" OR patient.reaction.reactionmeddrapt.exact:""TRANSAMINASES INCREASED"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
pembrolizumab,PD-1,endocrine,91643,4966,57293,20328575,22.1,21.45,22.77,"(patient.drug.medicinalproduct.exact:""KEYTRUDA"" OR patient.drug.medicinalproduct.exact:""PEMBROLIZUMAB"")","(patient.reaction.reactionmeddrapt.exact:""ADRENAL INSUFFICIENCY"" OR patient.reaction.reactionmeddrapt.exact:""HYPERTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""HYPOPHYSITIS"" OR patient.reaction.reactionmeddrapt.exact:""HYPOTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""THYROIDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
pembrolizumab,PD-1,nephritis,91643,1186,133893,20328575,1.987,1.876,2.105,"(patient.drug.medicinalproduct.exact:""KEYTRUDA"" OR patient.drug.medicinalproduct.exact:""PEMBROLIZUMAB"")","(patient.reaction.reactionmeddrapt.exact:""NEPHRITIS"" OR patient.reaction.reactionmeddrapt.exact:""RENAL FAILURE"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
pembrolizumab,PD-1,cardiac,91643,1249,26440,20328575,11.09,10.47,11.74,"(patient.drug.medicinalproduct.exact:""KEYTRUDA"" OR patient.drug.medicinalproduct.exact:""PEMBROLIZUMAB"")","(patient.reaction.reactionmeddrapt.exact:""MYOCARDITIS"" OR patient.reaction.reactionmeddrapt.exact:""PERICARDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
pembrolizumab,PD-1,skin,91643,4586,725597,20328575,1.426,1.384,1.469,"(patient.drug.medicinalproduct.exact:""KEYTRUDA"" OR patient.drug.medicinalproduct.exact:""PEMBROLIZUMAB"")","(patient.reaction.reactionmeddrapt.exact:""DERMATITIS"" OR patient.reaction.reactionmeddrapt.exact:""PRURITUS"" OR patient.reaction.reactionmeddrapt.exact:""RASH"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
pembrolizumab,PD-1,neuromuscular,91643,1109,20425,20328575,12.83,12.07,13.63,"(patient.drug.medicinalproduct.exact:""KEYTRUDA"" OR patient.drug.medicinalproduct.exact:""PEMBROLIZUMAB"")","(patient.reaction.reactionmeddrapt.exact:""GUILLAIN-BARRE SYNDROME"" OR patient.reaction.reactionmeddrapt.exact:""MYASTHENIA GRAVIS"" OR patient.reaction.reactionmeddrapt.exact:""MYOSITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
relatlimab,LAG-3,pneumonitis,631,14,72123,20328575,6.596,3.918,11.1,"(patient.drug.medicinalproduct.exact:""OPDUALAG"" OR patient.drug.medicinalproduct.exact:""RELATLIMAB"")","(patient.reaction.reactionmeddrapt.exact:""INTERSTITIAL LUNG DISEASE"" OR patient.reaction.reactionmeddrapt.exact:""PNEUMONITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
relatlimab,LAG-3,colitis,631,34,655379,20328575,1.733,1.23,2.443,"(patient.drug.medicinalproduct.exact:""OPDUALAG"" OR patient.drug.medicinalproduct.exact:""RELATLIMAB"")","(patient.reaction.reactionmeddrapt.exact:""COLITIS"" OR patient.reaction.reactionmeddrapt.exact:""DIARRHOEA"" OR patient.reaction.reactionmeddrapt.exact:""ENTEROCOLITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
relatlimab,LAG-3,hepatitis,631,17,112185,20328575,5.133,3.191,8.255,"(patient.drug.medicinalproduct.exact:""OPDUALAG"" OR patient.drug.medicinalproduct.exact:""RELATLIMAB"")","(patient.reaction.reactionmeddrapt.exact:""ALANINE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""ASPARTATE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""HEPATITIS"" OR patient.reaction.reactionmeddrapt.exact:""TRANSAMINASES INCREASED"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
relatlimab,LAG-3,endocrine,631,27,57293,20328575,16.1,10.99,23.6,"(patient.drug.medicinalproduct.exact:""OPDUALAG"" OR patient.drug.medicinalproduct.exact:""RELATLIMAB"")","(patient.reaction.reactionmeddrapt.exact:""ADRENAL INSUFFICIENCY"" OR patient.reaction.reactionmeddrapt.exact:""HYPERTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""HYPOPHYSITIS"" OR patient.reaction.reactionmeddrapt.exact:""HYPOTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""THYROIDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
relatlimab,LAG-3,nephritis,631,1,133893,20328575,0.3588,0.07228,1.781,"(patient.drug.medicinalproduct.exact:""OPDUALAG"" OR patient.drug.medicinalproduct.exact:""RELATLIMAB"")","(patient.reaction.reactionmeddrapt.exact:""NEPHRITIS"" OR patient.reaction.reactionmeddrapt.exact:""RENAL FAILURE"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
relatlimab,LAG-3,cardiac,631,29,26440,20328575,37.64,26,54.48,"(patient.drug.medicinalproduct.exact:""OPDUALAG"" OR patient.drug.medicinalproduct.exact:""RELATLIMAB"")","(patient.reaction.reactionmeddrapt.exact:""MYOCARDITIS"" OR patient.reaction.reactionmeddrapt.exact:""PERICARDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
relatlimab,LAG-3,skin,631,23,725597,20328575,1.043,0.691,1.575,"(patient.drug.medicinalproduct.exact:""OPDUALAG"" OR patient.drug.medicinalproduct.exact:""RELATLIMAB"")","(patient.reaction.reactionmeddrapt.exact:""DERMATITIS"" OR patient.reaction.reactionmeddrapt.exact:""PRURITUS"" OR patient.reaction.reactionmeddrapt.exact:""RASH"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
relatlimab,LAG-3,neuromuscular,631,23,20425,20328575,38.44,25.45,58.05,"(patient.drug.medicinalproduct.exact:""OPDUALAG"" OR patient.drug.medicinalproduct.exact:""RELATLIMAB"")","(patient.reaction.reactionmeddrapt.exact:""GUILLAIN-BARRE SYNDROME"" OR patient.reaction.reactionmeddrapt.exact:""MYASTHENIA GRAVIS"" OR patient.reaction.reactionmeddrapt.exact:""MYOSITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
tremelimumab,CTLA-4,pneumonitis,2903,129,72123,20328575,13.13,11.01,15.66,"(patient.drug.medicinalproduct.exact:""IMJUDO"" OR patient.drug.medicinalproduct.exact:""TREMELIMUMAB"")","(patient.reaction.reactionmeddrapt.exact:""INTERSTITIAL LUNG DISEASE"" OR patient.reaction.reactionmeddrapt.exact:""PNEUMONITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
tremelimumab,CTLA-4,colitis,2903,355,655379,20328575,4.189,3.749,4.681,"(patient.drug.medicinalproduct.exact:""IMJUDO"" OR patient.drug.medicinalproduct.exact:""TREMELIMUMAB"")","(patient.reaction.reactionmeddrapt.exact:""COLITIS"" OR patient.reaction.reactionmeddrapt.exact:""DIARRHOEA"" OR patient.reaction.reactionmeddrapt.exact:""ENTEROCOLITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
tremelimumab,CTLA-4,hepatitis,2903,84,112185,20328575,5.404,4.352,6.71,"(patient.drug.medicinalproduct.exact:""IMJUDO"" OR patient.drug.medicinalproduct.exact:""TREMELIMUMAB"")","(patient.reaction.reactionmeddrapt.exact:""ALANINE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""ASPARTATE AMINOTRANSFERASE INCREASED"" OR patient.reaction.reactionmeddrapt.exact:""HEPATITIS"" OR patient.reaction.reactionmeddrapt.exact:""TRANSAMINASES INCREASED"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
tremelimumab,CTLA-4,endocrine,2903,136,57293,20328575,17.49,14.73,20.77,"(patient.drug.medicinalproduct.exact:""IMJUDO"" OR patient.drug.medicinalproduct.exact:""TREMELIMUMAB"")","(patient.reaction.reactionmeddrapt.exact:""ADRENAL INSUFFICIENCY"" OR patient.reaction.reactionmeddrapt.exact:""HYPERTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""HYPOPHYSITIS"" OR patient.reaction.reactionmeddrapt.exact:""HYPOTHYROIDISM"" OR patient.reaction.reactionmeddrapt.exact:""THYROIDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
tremelimumab,CTLA-4,nephritis,2903,36,133893,20328575,1.92,1.385,2.662,"(patient.drug.medicinalproduct.exact:""IMJUDO"" OR patient.drug.medicinalproduct.exact:""TREMELIMUMAB"")","(patient.reaction.reactionmeddrapt.exact:""NEPHRITIS"" OR patient.reaction.reactionmeddrapt.exact:""RENAL FAILURE"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
tremelimumab,CTLA-4,cardiac,2903,72,26440,20328575,19.71,15.61,24.89,"(patient.drug.medicinalproduct.exact:""IMJUDO"" OR patient.drug.medicinalproduct.exact:""TREMELIMUMAB"")","(patient.reaction.reactionmeddrapt.exact:""MYOCARDITIS"" OR patient.reaction.reactionmeddrapt.exact:""PERICARDITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
tremelimumab,CTLA-4,skin,2903,177,725597,20328575,1.759,1.511,2.047,"(patient.drug.medicinalproduct.exact:""IMJUDO"" OR patient.drug.medicinalproduct.exact:""TREMELIMUMAB"")","(patient.reaction.reactionmeddrapt.exact:""DERMATITIS"" OR patient.reaction.reactionmeddrapt.exact:""PRURITUS"" OR patient.reaction.reactionmeddrapt.exact:""RASH"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
tremelimumab,CTLA-4,neuromuscular,2903,51,20425,20328575,17.99,13.65,23.71,"(patient.drug.medicinalproduct.exact:""IMJUDO"" OR patient.drug.medicinalproduct.exact:""TREMELIMUMAB"")","(patient.reaction.reactionmeddrapt.exact:""GUILLAIN-BARRE SYNDROME"" OR patient.reaction.reactionmeddrapt.exact:""MYASTHENIA GRAVIS"" OR patient.reaction.reactionmeddrapt.exact:""MYOSITIS"")",openFDA pharmacovigilance reporting-signal sensitivity,not incidence; not causal lineage inference; not adjudicated irAE; no tumor denominator
